호선,역명,구분,할인,시간대,이용량
7,남구로,하차,일반,01시-02시,45
7,남구로,하차,우대권,01시-02시,2
7,철산,승차,일반,01시-02시,19
7,철산,승차,우대권,01시-02시,2
7,철산,하차,일반,01시-02시,68
7,철산,하차,우대권,01시-02시,1
2,을지로입구,승차,일반,02시-03시,0
2,을지로입구,승차,우대권,02시-03시,0
2,을지로입구,하차,일반,02시-03시,31
2,을지로입구,하차,우대권,02시-03시,1
2,구로디지털단지,승차,일반,02시-03시,0
2,구로디지털단지,승차,우대권,02시-03시,1
2,구로디지털단지,하차,일반,02시-03시,2
2,구로디지털단지,하차,우대권,02시-03시,2
3,압구정,승차,일반,02시-03시,0
3,압구정,승차,우대권,02시-03시,0
3,압구정,하차,일반,02시-03시,8
3,압구정,하차,우대권,02시-03시,0
7,남구로,승차,일반,02시-03시,0
7,남구로,승차,우대권,02시-03시,0
7,남구로,하차,일반,02시-03시,2
7,남구로,하차,우대권,02시-03시,0
7,철산,승차,일반,02시-03시,0
7,철산,승차,우대권,02시-03시,0
7,철산,하차,일반,02시-03시,5
7,철산,하차,우대권,02시-03시,0
2,을지로입구,승차,일반,03시-04시,0
2,을지로입구,승차,우대권,03시-04시,0
2,을지로입구,하차,일반,03시-04시,0
2,을지로입구,하차,우대권,03시-04시,0
2,구로디지털단지,승차,일반,03시-04시,0
2,구로디지털단지,승차,우대권,03시-04시,0
2,구로디지털단지,하차,일반,03시-04시,0
2,구로디지털단지,하차,우대권,03시-04시,0
3,압구정,승차,일반,03시-04시,0
3,압구정,승차,우대권,03시-04시,0
3,압구정,하차,일반,03시-04시,0
3,압구정,하차,우대권,03시-04시,0
7,남구로,승차,일반,03시-04시,0
7,남구로,승차,우대권,03시-04시,0
7,남구로,하차,일반,03시-04시,0
7,남구로,하차,우대권,03시-04시,0
7,철산,승차,일반,03시-04시,0
7,철산,승차,우대권,03시-04시,0
7,철산,하차,일반,03시-04시,0
7,철산,하차,우대권,03시-04시,0
